pathway	N_GC	N_ChG	RA_GC	RA_ChG	P_wilcoxon	FDR_wilcoxon	Beta	SE	P_maaslin	FDR_maaslin	FC	FC_lower	FC_upper	Beta_ancombc	SE_ancombc	P_ancombc	FDR_ancombc	FC_ancombc	FC_lower_ancombc	FC_upper_ancombc	passed_ss_groupGC	N_GC_V	N_ChG_V	RA_GC_V	RA_ChG_V	P_wilcoxon_V	Beta_V	SE_V	P_maaslin_V	FC_V	FC_lower_V	FC_upper_V	Concordance
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	46	46	80.4751956521739	146.655734782609	5.43522099688857e-09	2.10886574679277e-06	-0.516892041233492	0.0732425346016739	3.40386797990359e-10	1.32070077620259e-07	0.698875781762332	0.664280939460315	0.735272276110656	-0.541586235947086	0.0903590656523816	4.17622157652012e-08	2.31481995955686e-06	0.581824608899881	0.531556756387913	0.63684615321578	TRUE	21	36	139.793980952381	114.876288888889	0.0687992010929425	0.423063745959578	0.189316149916412	0.0295195489973813	1.3407718327203	1.17588550748957	1.52877903160321	FALSE
PWY-5838: superpathway of menaquinol-8 biosynthesis I	46	46	105.523534782609	179.872343478261	1.50080455188183e-08	2.91156083065076e-06	-0.454180010006671	0.0672479065687508	1.37578049055009e-09	2.66901415166717e-07	0.729924924409703	0.696681946442378	0.764754129190827	-0.478872836949335	0.0861197398432915	2.72570767357578e-07	9.61431433952184e-06	0.619481254810561	0.568364365828433	0.675195434714337	TRUE	21	36	182.814761904762	149.946422222222	0.0739940748607661	0.405013738384905	0.175665165291381	0.0249294397456064	1.32410151938704	1.17230549307021	1.49555286058706	FALSE
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	46	46	163.775686956522	255.726543478261	8.10693713351507e-08	1.04849720260128e-05	-0.401432131081572	0.0709210988809982	1.77898313635214e-07	8.05239955429805e-06	0.75710634757384	0.720787936151415	0.795254738303759	-0.426124072290067	0.0857510882355701	3.18319046330956e-06	6.87876410772229e-05	0.653035313507236	0.599370608286856	0.711504893285314	TRUE	21	36	184.036004761905	138.617330555556	0.00359608363545935	0.428579491726954	0.158353092161341	0.00903916251212684	1.34590771482699	1.2059970678157	1.50204973558663	FALSE
PWY-7761: NAD salvage pathway II (PNC IV cycle)	46	46	79.3972993478261	149.653336956522	1.82470730263624e-07	1.76996608355715e-05	-0.618189456104189	0.124417865746246	3.19168204979421e-06	5.38422884921806e-05	0.651488015029415	0.597658253157845	0.710166104934338	-0.642894443211241	0.127630933515122	2.41739242928975e-06	5.86217664102765e-05	0.525768412712052	0.462769875910543	0.597343168160729	TRUE	21	36	122.23499047619	134.933577777778	0.436849909467632	-0.0759043131397021	0.106882251468953	0.480600601146257	0.948747238787799	0.880999701467236	1.02170445870571	TRUE
PWY-6992: 1,5-anhydrofructose degradation	39	45	3.38338125641026	7.41049866666667	3.9048251782012e-07	1.88115068083004e-05	-1.85086555916435	0.500242979057279	0.000370884888065733	0.00177658440209265	0.277225993635113	0.195995367652147	0.392122795898814	-0.805611957146125	0.151280733442419	8.63419764288494e-07	2.57697591187643e-05	0.446814411606003	0.38408450304596	0.519789569314984	TRUE	-	-	-	-	-	-	-	-	-	-	-	-
PWY-5897: superpathway of menaquinol-11 biosynthesis	46	46	142.00227173913	209.48452173913	4.18851729439852e-07	1.88115068083004e-05	-0.316581108745831	0.0552966071028584	1.34541325931726e-07	7.45743349450141e-06	0.802970499999885	0.772776048076794	0.834344730888959	-0.341272519963605	0.0858798128281219	0.000142421759270435	0.00125590096811202	0.710865156860378	0.652364168203405	0.774612242468489	TRUE	21	36	245.544619047619	212.706441666667	0.116045602411071	0.258880348180559	0.131760720399374	0.0544998055869456	1.19654972168324	1.09211109947148	1.310975812949	FALSE
PWY-5898: superpathway of menaquinol-12 biosynthesis	46	46	142.00227173913	209.48452173913	4.18851729439852e-07	1.88115068083004e-05	-0.316581108745831	0.0552966071028584	1.34541325931726e-07	7.45743349450141e-06	0.802970499999885	0.772776048076794	0.834344730888959	-0.341272519963605	0.0858798128281219	0.000142421759270435	0.00125590096811202	0.710865156860378	0.652364168203405	0.774612242468489	TRUE	21	36	245.544619047619	212.706441666667	0.116045602411071	0.258880348180559	0.131760720399374	0.0544998055869456	1.19654972168324	1.09211109947148	1.310975812949	FALSE
PWY-5899: superpathway of menaquinol-13 biosynthesis	46	46	142.00227173913	209.48452173913	4.18851729439852e-07	1.88115068083004e-05	-0.316581108745831	0.0552966071028584	1.34541325931726e-07	7.45743349450141e-06	0.802970499999885	0.772776048076794	0.834344730888959	-0.341272519963605	0.0858798128281219	0.000142421759270435	0.00125590096811202	0.710865156860378	0.652364168203405	0.774612242468489	TRUE	21	36	245.544619047619	212.706441666667	0.116045602411071	0.258880348180559	0.131760720399374	0.0544998055869456	1.19654972168324	1.09211109947148	1.310975812949	FALSE
PWY-5695: inosine 5'-phosphate degradation	46	46	584.704152173913	713.551956521739	4.36349384728618e-07	1.88115068083004e-05	-0.122855907968452	0.0203553745586362	3.47391597367791e-08	3.36969849446758e-06	0.918367881536031	0.905501362733834	0.931417224255343	-0.147545904866677	0.0653903036911787	0.0264680396121012	0.0738820098524838	0.862822829645306	0.808207692306328	0.921128618848835	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	46	46	611.086239130435	595.743	7.69096424773019e-07	2.80365072345157e-05	0.100393126035316	0.0187194204656767	6.2836611868441e-07	1.7473852445204e-05	1.07206555438661	1.05824502446157	1.08606657847225	0.075703410207078	0.0696838830820555	0.28021057854431	0.436301139963138	1.0786426123219	1.00603768088583	1.15648738334746	TRUE	-	-	-	-	-	-	-	-	-	-	-	-
