Taxon	Oral_to_Gut _transmitter	N_GC	N_ChG	RA_GC	RA_ChG	P_wilcoxon	FDR_wilcoxon	Beta	SE	P_maaslin	FDR_maaslin	FC	FC_lower	FC_upper	Beta_ancombc	SE_ancombc	P_ancombc	FDR_ancombc	FC_ancombc	FC_lower_ancombc	FC_upper_ancombc	passed_ss_groupcancer	N_GC_V	N_ChG_V	RA_GC_V	RA_ChG_V	P_wilcoxon_V	Beta_V	SE_V	P_maaslin_V	FC_V	FC_lower_V	FC_upper_V	Concordance
Prevotella_nanceiensis	-	40	45	0.250869	1.51946866666667	1.11315775518773e-09	5.56578877593863e-07	-3.59147947891206	0.708672972702042	2.13247034616586e-06	0.000266558793270733	0.0829577468547568	0.0507604105648698	0.135577858544367	-2.88430447339669	0.387626430509892	8.34534387047201e-11	4.172671935236e-08	0.055893651541742	0.0379331111224685	0.082358134891267	TRUE	19	35	0.986897894736842	2.59361057142857	0.000452584719159821	-1.97185594973769	0.896221731438396	0.0320123712061099	0.254924873226037	0.136969095576557	0.474462437791214	TRUE
GGB1203_SGB1568	-	32	45	0.09840625	0.229108	3.60090278719754e-08	9.00225696799386e-06	-4.31911840700689	0.808581856626628	6.87465850072226e-07	0.000114577641678704	0.0500974712447742	0.0286027909431098	0.0877451655019545	-1.79516200750158	0.325892036343385	4.86759130246111e-07	2.70421739025617e-05	0.166100540633343	0.119905176566877	0.230093398705774	TRUE	17	34	0.475263529411765	0.53938705882353	0.101277389735514	-2.3799657465542	1.11686071522926	0.03757940531377	0.192113958906984	0.0885829920698502	0.416646269724234	TRUE
Porphyromonas_bobii	-	41	46	2.76109243902439	7.29857760869565	1.4465690363492e-06	0.000241094839391534	-2.61685807500637	0.739806509341979	0.000641662288090509	0.0167108341582509	0.163022378430185	0.0976210050808436	0.27223952311314	-1.60167333189161	0.405211052430514	0.00015923647208351	0.00150223086871236	0.20155896061382	0.13440678287829	0.302261639879525	TRUE	21	36	1.65043095238095	7.67895777777778	0.00018495182482244	-2.17999629874368	0.540037300481143	0.000169152454824574	0.220676315220419	0.151770825885896	0.320865593337904	TRUE
Corynebacterium_matruchotii	-	41	46	0.449599268292683	0.060399347826087	2.30382238321646e-06	0.000287977797902057	0.43864703419874	0.631125926239167	0.488831428475421	0.686560995049748	1.35533269426372	0.875100798183649	2.09910300156606	1.27217981250205	0.311949366025915	0.000101863294017657	0.00114869648436713	3.56862301928164	2.6122983990253	4.8750442363317	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
Pseudoleptotrichia_goodfellowii	-	8	31	0.0113	0.0154696774193548	3.12209076035134e-06	0.000312209076035134	-4.56316773922515	0.828516154919781	3.41366259768327e-07	8.53415649420819e-05	0.0423009026943343	0.0238199815480337	0.0751203927319269	-0.478984661608598	0.24217186042056	0.0554270603354649	0.112200526994868	0.619411985403408	0.486189641653841	0.789139000074704	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
Prevotella_pallens	-	41	46	0.89061	2.18430760869565	4.91053959825915e-06	0.000409211633188263	-2.73537890839773	0.666644902951744	8.9338788362925e-05	0.0049632660201625	0.150165061766414	0.0945994882049425	0.238368581090621	-1.86311143567717	0.406417405350568	1.55324580646065e-05	0.000298701116627047	0.155189017746849	0.103360868012667	0.233005311316467	TRUE	21	36	3.66808095238095	3.36927361111111	0.518811085099224	0.415350012842347	0.54108744683001	0.445995529520265	1.33362218847837	0.916535436097141	1.9405121412167	FALSE
Prevotella_nigrescens	-	28	46	0.0225803571428571	0.0584932608695653	1.40942075251329e-05	0.00100672910893806	-4.26064849608381	0.728193453638815	7.79737327871862e-08	3.89868663935931e-05	0.0521695393164333	0.0314926299077247	0.086422151483173	-1.09819014351186	0.325415069469094	0.00119321625535095	0.00655613327115905	0.333474078090686	0.240844155345892	0.461729953956011	TRUE	21	35	0.171056666666667	0.266918571428571	0.446668681022644	0.450968590115135	0.551340795015349	0.416915965740184	1.3669576906618	0.932792306812921	2.00320405133252	FALSE
Fusobacterium_periodonticum	-	41	45	0.505808780487805	1.61626933333333	1.71265991677549e-05	0.00107041244798468	-2.37483540533428	0.70813482972866	0.00116841444779794	0.0214339913528414	0.192798347962547	0.11801398717214	0.314972859300717	-1.84374389249301	0.352622744657895	1.22928588588568e-06	5.28124925213771e-05	0.158223942400382	0.111206478702364	0.22512012106528	TRUE	20	35	2.322431	2.92039171428571	0.106750144623023	-0.89404421875657	0.829950228042413	0.286081463172853	0.538103569207467	0.302709436170207	0.956545837675849	TRUE
Mogibacterium_SGB3923	-	17	35	0.00885647058823529	0.0217577142857143	1.98127888069475e-05	0.00110071048927486	-3.93726348445821	0.878842960962162	2.18636757173757e-05	0.00163561327785138	0.0652778121743589	0.0354982952805594	0.120039363259354	-1.25116350845468	0.273523431038303	3.17465198149282e-05	0.000496039372108253	0.286171639959757	0.217689196088926	0.376197849909845	TRUE	9	12	0.00107	0.0022125	0.702084159298951	0.311720048497646	0.903699053596366	0.731456705778636	1.24118661887871	0.663432224863353	2.32208229439091	FALSE
Peptostreptococcus_SGB749	-	42	45	0.772355952380952	1.75312244444444	4.41940579617039e-05	0.00220970289808519	-1.68725476763777	0.683296085404243	0.0154254681793581	0.0876447055645348	0.310517230909946	0.193371776451863	0.498629905879689	-1.3508915635183	0.354057935498336	0.000257111506974251	0.00217891107605298	0.259009234489576	0.181781566091414	0.36904613043734	TRUE	-	-	-	-	-	-	-	-	-	-	-	-
GGB1144_SGB1469	-	28	41	0.132507857142857	0.188104634146341	6.17273144594119e-05	0.00280578702088236	-3.76625873650243	0.969427108836182	0.000195134319550524	0.00781256027691797	0.0734925216303356	0.0375332792940258	0.143902979893501	-1.47017116441082	0.366896778300287	0.000156833851080889	0.00150223086871236	0.22988613349442	0.159283771239968	0.331782917754986	TRUE	18	36	1.18603666666667	3.18424805555556	0.0124838664337255	-3.23431755702426	1.06014041558934	0.00350845118171858	0.106260877952697	0.0509611635303688	0.221568217855725	TRUE
Streptococcus_gordonii	transmitter	45	44	0.973544888888889	0.292626818181818	0.000125952172308063	0.00524800717950261	1.37481955363124	0.53615068867253	0.0119972240477332	0.0778177831892069	2.5933547228614	1.78839927353749	3.76061924096197	0.592629192638407	0.345814180782607	0.0901409571573816	0.167627111456642	1.80873768910128	1.27994231672286	2.55599958313107	TRUE	-	-	-	-	-	-	-	-	-	-	-	-
Actinomyces_gerencseriae	-	19	39	0.0199726315789474	0.0192115384615385	0.000173766398209142	0.00610009658777902	-3.88759487138369	0.841516970448168	1.27501510051488e-05	0.00127501510051488	0.0675643079510041	0.0377046994022003	0.121070736042832	-0.401143227018753	0.317365911769543	0.211474389226176	0.333528541185345	0.66955415592435	0.487478477231142	0.919636022213556	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
Aggregatibacter_SGB9728	-	8	26	0.033945	0.036155	0.000175176610410315	0.00610009658777902	-3.83153156860461	0.912460708156507	6.28631470549386e-05	0.00392894669093366	0.0702415470987338	0.0373177993704612	0.132212376454573	-0.707966588324168	0.28131615621718	0.0170568630209184	0.0460876743452884	0.492644929617848	0.371843302034661	0.652691672406542	TRUE	5	21	0.01156	0.0129528571428571	0.0120710855854552	-3.2006541719568	1.15913695948707	0.00781091338773167	0.108769489069037	0.0487048370415567	0.242908147752243	TRUE
GGB1144_SGB1468	-	30	43	0.132482666666667	0.289257209302326	0.000194819519028194	0.00610009658777902	-3.64991546622189	0.941308120217256	0.000200383746101448	0.00781256027691797	0.07966470697242	0.0414862312352104	0.152977634941569	-1.04717721508818	0.404325393910645	0.011639861459053	0.034725393303286	0.350926943594218	0.234218085345827	0.525790822508631	TRUE	21	36	1.24539523809524	1.45286805555556	0.907809949689572	0.455129762496631	0.611319236147938	0.459740821576853	1.3709061049106	0.897392185605582	2.09427224643471	FALSE
Corynebacterium_durum	-	42	45	0.644283333333334	0.170282888888889	0.000195203090808929	0.00610009658777902	0.393691061732621	0.655913419072753	0.549869311905694	0.739236683039135	1.31375027095124	0.833802522970343	2.06996228348644	0.722311009936093	0.352052661704107	0.0432754581799382	0.0927452123140423	2.0591865165598	1.44810868265923	2.92812905602853	TRUE	-	-	-	-	-	-	-	-	-	-	-	-
