pathway	N_GC	N_ChG	RA_GC	RA_ChG	P_wilcoxon	FDR_wilcoxon	Beta	SE	P_maaslin	FDR_maaslin	FC	FC_lower	FC_upper	Beta_ancombc	SE_ancombc	P_ancombc	FDR_ancombc	FC_ancombc	FC_lower_ancombc	FC_upper_ancombc	passed_ss_groupGC	N_GC_V	N_ChG_V	RA_GC_V	RA_ChG_V	P_wilcoxon_V	Beta_V	SE_V	P_maaslin_V	FC_V	FC_lower_V	FC_upper_V	Concordance
PWY-5981: CDP-diacylglycerol biosynthesis III	106	105	138.259854716981	49.8885666666666	3.15451166548531e-12	1.55517425108426e-09	1.20008045863095	0.17280848223551	4.66667527120006e-11	7.66890302900542e-09	2.2975248386306	2.0381665915145	2.58988661972041	1.03551652903156	0.163933953025916	1.58238894046528e-09	2.60039249216462e-07	2.81656069532469	2.39069131201111	3.31829296011223	TRUE	50	50	101.87615516	53.4765096	0.00196597265768437	0.774711454431159	0.274015773570909	0.00569228847938634	1.71084783979636	1.41489567364857	2.06870399383445	TRUE
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	101	83	38.9902137326733	11.7123787228916	1.07570830630995e-11	2.23096301916578e-09	2.71456655410786	0.456207038946549	1.10762202365479e-08	6.06730730735345e-07	6.56396048611462	4.7844713140785	9.00529534715632	1.19378106162643	0.204623583204409	2.42887744614529e-08	1.99572763491605e-06	3.29953339039985	2.68896800414316	4.04873564043491	TRUE	47	37	14.7011540851064	9.72673375675676	0.00806848762617857	2.09451899150159	0.685702575526771	0.00290295270933532	4.27083745621875	2.65519242004115	6.86957843046208	TRUE
PWY-922: mevalonate pathway I (eukaryotes and bacteria)	101	83	41.3341459009901	12.6168681204819	1.35758398732198e-11	2.23096301916578e-09	2.79043173869288	0.456417647631486	4.67660704174635e-09	3.29366753082993e-07	6.91836792081829	5.04206281282387	9.49290329467373	1.30811022118065	0.221575627003975	1.70640679630297e-08	1.68251710115473e-06	3.69917647732359	2.96398484434451	4.61672624153056	TRUE	48	37	13.6364291875	8.19253983783784	0.00291805295994839	2.29118218769133	0.651772803883564	0.000666824790895639	4.89457022594827	3.11538266988646	7.68984751963469	TRUE
PWY-7234: inosine-5'-phosphate biosynthesis III	106	106	274.220788679245	162.175013207547	2.36017502989024e-11	2.90891572433972e-09	0.438157862374322	0.0608021773543218	1.01683064791645e-11	3.2240309527532e-09	1.35487322212221	1.29895881124841	1.41319450018555	0.371900903529483	0.105299989622936	0.000507289726981762	0.00510395582453079	1.45048923580715	1.30551932774354	1.6115571623354	TRUE	50	50	173.30968	141.165302	0.061730689566517	0.163913914087392	0.111236169905153	0.143803189238849	1.12032236233171	1.03718823321509	1.21011997181058	TRUE
PANTO-PWY: phosphopantothenate biosynthesis I	106	106	278.668141509434	317.791990566038	1.53451827733584e-10	1.51303502145314e-08	-0.284084119319782	0.0396575701290005	1.30792330740495e-11	3.2240309527532e-09	0.821262813928174	0.798994961477723	0.844151267604742	-0.350343399406482	0.105017379470396	0.0010048112131708	0.00798986980795492	0.704446141791714	0.634219113808267	0.782449402550257	TRUE	50	50	306.35854	353.77402	0.0544328781521869	-0.117388417297102	0.054648895908428	0.0341751119476715	0.921854893179749	0.887588380792191	0.957444309175123	TRUE
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)	106	106	46.187220745283	24.1550883490566	1.96003814339212e-09	1.39959489843115e-07	0.94981485515139	0.149188061042239	1.19672279505734e-09	9.83307229938784e-08	1.93162475145863	1.74185773072478	2.14206597624658	0.883640269978485	0.155907512954983	4.73865527424083e-08	2.92019631275091e-06	2.41969202573832	2.07038122507486	2.82793788337697	TRUE	50	48	41.9925752	31.288971875	0.0607755795820029	0.835654507488189	0.353379395355919	0.0200127939441652	1.7846665049002	1.39694489496043	2.28000012398693	TRUE
PWY66-409: superpathway of purine nucleotide salvage	106	106	231.02950754717	146.167946226415	1.98725441967911e-09	1.39959489843115e-07	0.400867478781859	0.062774555431355	1.07709215639541e-09	9.83307229938784e-08	1.32030155688917	1.26408451495618	1.37901871314704	0.334611099382447	0.10070953687913	0.00105218908981675	0.00823379716316918	1.39739683104448	1.26352010832939	1.54545850955631	TRUE	50	50	198.517468	167.379152	0.00702865437366609	0.191112079522976	0.0901262178215217	0.0364891020062274	1.14164339522328	1.0725061062905	1.21523750234381	TRUE
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II	76	32	4.73852676052632	6.80845746875	3.03091036469166e-09	1.86779851224123e-07	3.11056719502722	0.475852624024763	4.68561217728996e-10	5.77501700850988e-08	8.63722094486258	6.21052216201283	12.0121277574178	0.216436579593291	0.179142000468772	0.229664849226429	0.367612891781265	1.24164433726788	1.03799874856805	1.48524327451858	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY-6731: starch degradation III	106	106	117.926534311321	150.162469811321	7.0135923600017e-09	3.84189003720093e-07	-0.536840087964416	0.0978803569536339	1.18420334755577e-07	3.43418970791175e-06	0.689278973711149	0.644065605070577	0.737666318244447	-0.603112204662699	0.138584334461291	2.10625864175239e-05	0.000546518689675751	0.547106277050897	0.476305159333993	0.628431736509075	TRUE	50	50	124.90062	148.887546	0.0656728791868366	-0.203088300888517	0.0942248634413884	0.033582963425205	0.868689014967628	0.813766522434402	0.927318320330951	TRUE
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I	106	106	241.724305471698	265.565037735849	1.08609517337524e-08	5.35444920473992e-07	-0.277013733214841	0.0558873959751644	1.47562728242838e-06	3.16297500103126e-05	0.825297552353027	0.793938339267951	0.857895400980281	-0.343273986745924	0.106535424967187	0.00147482172791822	0.0102536321436724	0.70944380672923	0.637749687660168	0.789197587462645	TRUE	50	50	220.49644	245.02534	0.0349006801770626	-0.0901426007366697	0.0407237900988064	0.029181780296473	0.939429888275816	0.913282825963072	0.966325534541034	TRUE
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	106	106	288.365094339623	325.616368867924	3.22775878808286e-08	1.44662280229532e-06	-0.266929689527373	0.0441022431374465	6.47157678149274e-09	3.9881091915949e-07	0.831086364021055	0.806064989823538	0.856884436344202	-0.333188894951212	0.1107177805123	0.00293834912777204	0.0160956235554624	0.716634812671686	0.641525288083891	0.800538130409326	TRUE	50	50	296.6302	347.04804	0.061730689566517	-0.129149914885292	0.0662305781742614	0.0540331181673955	0.914370069552833	0.873342532196943	0.957324982204708	TRUE
PWY-6630: superpathway of L-tyrosine biosynthesis	106	106	184.996099056604	117.33620754717	5.70380036742163e-08	2.34331131761572e-06	0.323037020124427	0.0570343955613374	4.83116787838295e-08	1.70126126003057e-06	1.25096117985926	1.20247143644245	1.30140627551594	0.256779940906584	0.108451313698144	0.0188073087192112	0.063944849645318	1.29276061172722	1.1598940064674	1.44084717216815	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY-6588: pyruvate fermentation to acetone	106	104	31.3043144056604	18.1525057788462	8.82092626024978e-08	3.34516665100242e-06	0.842085975274728	0.187803455775954	1.20541674640133e-05	0.000174785428228193	1.79264022569554	1.57383306047371	2.0418677555385	0.59621796616358	0.154390536950374	0.000150304953123493	0.0020583428302745	1.81524050061351	1.55554727525297	2.11828860973173	TRUE	50	50	31.8933522	21.4736022	0.00845249694686906	0.526746947750615	0.194951581149435	0.00812498229268229	1.44067702838963	1.25857864271055	1.64912245424692	TRUE
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	106	100	28.8804903433962	7.75429232	9.85485329402701e-08	3.47031619568237e-06	1.55237212087923	0.284247854707292	1.32879035931901e-07	3.6394091508015e-06	2.93298993622551	2.40848220753351	3.57172244789373	1.00237764027261	0.23785507948047	3.76275093204857e-05	0.00084319827704543	2.72475261435889	2.14796860537401	3.45641774785758	TRUE	47	47	13.0573812553192	5.47105446808511	0.0168961663934323	0.749132741537502	0.498809110286602	0.136353154570381	1.68078214514672	1.18947391272901	2.37502360431137	TRUE
PWY-702: L-methionine biosynthesis II	106	106	247.68679245283	163.081761320755	1.10126479396103e-07	3.61949028948524e-06	0.340135283053839	0.0583623017575868	2.08993346029743e-08	9.60356819637827e-07	1.26587529088218	1.21568797066408	1.31813449728445	0.273878127956279	0.102543316830907	0.0081585426018527	0.034344782540123	1.31505452408976	1.18688806583397	1.45706107518554	TRUE	50	50	181.261232	149.949792	0.0259670749819834	0.187468019113054	0.0818683965673091	0.0241732524618442	1.13876339098314	1.0759414875233	1.20525332992639	TRUE
PWY-5667: CDP-diacylglycerol biosynthesis I	106	106	404.406886792453	417.822839622642	1.60791681488017e-07	4.77745391513457e-06	-0.17876999544552	0.0306998732150084	2.14278397890793e-08	9.60356819637827e-07	0.883455886983838	0.864854971706479	0.902456862456808	-0.245028932101563	0.101840617117713	0.0169943738950678	0.0594200448955207	0.782681893282259	0.706897537578899	0.866590861484686	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PWY3O-4107: NAD salvage pathway V (PNC V cycle)	106	106	130.854205	67.0817005660377	1.64739790177054e-07	4.77745391513457e-06	0.775672829697057	0.134730448830979	3.00575664450906e-08	1.13987540441767e-06	1.71198828520401	1.55934740591989	1.87957082401837	0.709439404567609	0.14981077345004	4.0165473132499e-06	0.000167018053100412	2.03285133198632	1.75002247571309	2.36138940802728	TRUE	50	50	107.61596278	60.4098162	0.0088019652521517	0.568870766324613	0.239160307289184	0.01931617295856	1.48336205134641	1.25676112416053	1.75082036918065	TRUE
PWY0-1319: CDP-diacylglycerol biosynthesis II	106	106	405.147783018868	417.95208490566	1.95122138884147e-07	5.34417858166024e-06	-0.177330114582255	0.0306861627117077	2.69094216878487e-08	1.10552874100912e-06	0.884338059719802	0.865726797849655	0.903349423642073	-0.243589048780816	0.101838528573353	0.0176424099246613	0.061251465442662	0.783809675628492	0.707917599212939	0.867837737459675	FALSE	-	-	-	-	-	-	-	-	-	-	-	-
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)	106	106	117.587504716981	69.1711571320755	2.17441894293026e-07	5.55649652096242e-06	0.643671674448988	0.116648316774844	1.00352676727677e-07	3.29825797511631e-06	1.56230017484465	1.4409530781203	1.69386628432314	0.577431291109369	0.131846802803048	1.87598242554268e-05	0.000513810742106967	1.78145650528973	1.56140255070866	2.03252343785317	TRUE	50	50	100.363462	65.668283	0.00441129029640785	0.50122585036711	0.215051522897794	0.021817568210712	1.41541572284051	1.21940243117193	1.64293724307135	TRUE
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	106	106	234.963172641509	263.455887735849	2.25415680363587e-07	5.55649652096242e-06	-0.284666274700834	0.0517703270836095	1.10500341560195e-07	3.40479177432351e-06	0.820931485335511	0.791995093736492	0.850925099088296	-0.350925797559815	0.112311216427976	0.00203214855823243	0.0126816359393492	0.704035993106123	0.629243475327313	0.787718425417275	TRUE	50	50	247.19724	298.6989	0.0155320016981235	-0.164060066651564	0.070347476879706	0.0217397918315172	0.892509811026478	0.850034002037592	0.937108116697775	TRUE
PWY-7434: terminal O-glycans residues modification (via type 2 precursor disaccharide)	103	88	7.49585592427185	3.47338278863636	5.52664603314172e-07	1.29744594968517e-05	1.88231886391021	0.367193013404896	6.69388016866924e-07	1.5000376923427e-05	3.68667148148629	2.85823760102788	4.75521930280271	0.781140782478995	0.229946577255873	0.00083044015320152	0.00705874130221292	2.18396227084429	1.73532411408515	2.74858809472945	TRUE	45	39	2.45940848888889	1.8851806	0.0190147583777653	1.25477723265325	0.582913349068592	0.0338055785856099	2.38630298723755	1.5931298757323	3.57437396262581	TRUE
